brand_id	tier	demographic	series_index	series_topic	book_index	status	epub_path	locale
gentle_growth_healing	core	josei	2	imposter_syndrome	1	planned		en_US
gentle_growth_healing	core	josei	2	imposter_syndrome	2	planned		en_US
gentle_growth_healing	core	josei	2	imposter_syndrome	3	planned		en_US
gentle_growth_healing	core	josei	2	imposter_syndrome	4	planned		en_US
gentle_growth_healing	core	josei	2	imposter_syndrome	5	planned		en_US
gentle_growth_healing	core	josei	3	social_anxiety	1	planned		en_US
gentle_growth_healing	core	josei	3	social_anxiety	2	planned		en_US
gentle_growth_healing	core	josei	3	social_anxiety	3	planned		en_US
gentle_growth_healing	core	josei	3	social_anxiety	4	planned		en_US
gentle_growth_healing	core	josei	3	social_anxiety	5	planned		en_US
gentle_growth_healing	core	josei	4	self_worth	1	planned		en_US
gentle_growth_healing	core	josei	4	self_worth	2	planned		en_US
gentle_growth_healing	core	josei	4	self_worth	3	planned		en_US
gentle_growth_healing	core	josei	4	self_worth	4	planned		en_US
gentle_growth_healing	core	josei	4	self_worth	5	planned		en_US
gentle_growth_healing	core	josei	5	self_worth	1	planned		en_US
gentle_growth_healing	core	josei	5	self_worth	2	planned		en_US
gentle_growth_healing	core	josei	5	self_worth	3	planned		en_US
gentle_growth_healing	core	josei	5	self_worth	4	planned		en_US
gentle_growth_healing	core	josei	5	self_worth	5	planned		en_US
healing_ground_healing	core	josei	1	grief	1	planned		en_US
healing_ground_healing	core	josei	1	grief	2	planned		en_US
healing_ground_healing	core	josei	1	grief	3	planned		en_US
healing_ground_healing	core	josei	1	grief	4	planned		en_US
healing_ground_healing	core	josei	1	grief	5	planned		en_US
healing_ground_healing	core	josei	2	boundaries	1	planned		en_US
healing_ground_healing	core	josei	2	boundaries	2	planned		en_US
healing_ground_healing	core	josei	2	boundaries	3	planned		en_US
healing_ground_healing	core	josei	2	boundaries	4	planned		en_US
healing_ground_healing	core	josei	2	boundaries	5	planned		en_US
healing_ground_healing	core	josei	3	overthinking	1	planned		en_US
healing_ground_healing	core	josei	3	overthinking	2	planned		en_US
healing_ground_healing	core	josei	3	overthinking	3	planned		en_US
healing_ground_healing	core	josei	3	overthinking	4	planned		en_US
healing_ground_healing	core	josei	3	overthinking	5	planned		en_US
healing_ground_healing	core	josei	4	grief	1	planned		en_US
healing_ground_healing	core	josei	4	grief	2	planned		en_US
healing_ground_healing	core	josei	4	grief	3	planned		en_US
healing_ground_healing	core	josei	4	grief	4	planned		en_US
healing_ground_healing	core	josei	4	grief	5	planned		en_US
healing_ground_healing	core	josei	5	grief	1	planned		en_US
healing_ground_healing	core	josei	5	grief	2	planned		en_US
healing_ground_healing	core	josei	5	grief	3	planned		en_US
healing_ground_healing	core	josei	5	grief	4	planned		en_US
healing_ground_healing	core	josei	5	grief	5	planned		en_US
heart_balance_shojo	core	josei	1	social_anxiety	1	planned		en_US
heart_balance_shojo	core	josei	1	social_anxiety	2	planned		en_US
heart_balance_shojo	core	josei	1	social_anxiety	3	planned		en_US
heart_balance_shojo	core	josei	1	social_anxiety	4	planned		en_US
heart_balance_shojo	core	josei	1	social_anxiety	5	planned		en_US
heart_balance_shojo	core	josei	2	boundaries	1	planned		en_US
heart_balance_shojo	core	josei	2	boundaries	2	planned		en_US
heart_balance_shojo	core	josei	2	boundaries	3	planned		en_US
heart_balance_shojo	core	josei	2	boundaries	4	planned		en_US
heart_balance_shojo	core	josei	2	boundaries	5	planned		en_US
heart_balance_shojo	core	josei	3	self_worth	1	planned		en_US
heart_balance_shojo	core	josei	3	self_worth	2	planned		en_US
heart_balance_shojo	core	josei	3	self_worth	3	planned		en_US
heart_balance_shojo	core	josei	3	self_worth	4	planned		en_US
heart_balance_shojo	core	josei	3	self_worth	5	planned		en_US
heart_balance_shojo	core	josei	4	social_anxiety	1	planned		en_US
heart_balance_shojo	core	josei	4	social_anxiety	2	planned		en_US
heart_balance_shojo	core	josei	4	social_anxiety	3	planned		en_US
heart_balance_shojo	core	josei	4	social_anxiety	4	planned		en_US
heart_balance_shojo	core	josei	4	social_anxiety	5	planned		en_US
heart_balance_shojo	core	josei	5	social_anxiety	1	planned		en_US
heart_balance_shojo	core	josei	5	social_anxiety	2	planned		en_US
heart_balance_shojo	core	josei	5	social_anxiety	3	planned		en_US
heart_balance_shojo	core	josei	5	social_anxiety	4	planned		en_US
heart_balance_shojo	core	josei	5	social_anxiety	5	planned		en_US
high_performer_workplace	core	seinen	1	burnout	1	planned		en_US
high_performer_workplace	core	seinen	1	burnout	2	planned		en_US
high_performer_workplace	core	seinen	1	burnout	3	planned		en_US
high_performer_workplace	core	seinen	1	burnout	4	planned		en_US
high_performer_workplace	core	seinen	1	burnout	5	planned		en_US
high_performer_workplace	core	seinen	2	financial_anxiety	1	planned		en_US
high_performer_workplace	core	seinen	2	financial_anxiety	2	planned		en_US
high_performer_workplace	core	seinen	2	financial_anxiety	3	planned		en_US
high_performer_workplace	core	seinen	2	financial_anxiety	4	planned		en_US
high_performer_workplace	core	seinen	2	financial_anxiety	5	planned		en_US
high_performer_workplace	core	seinen	3	imposter_syndrome	1	planned		en_US
high_performer_workplace	core	seinen	3	imposter_syndrome	2	planned		en_US
high_performer_workplace	core	seinen	3	imposter_syndrome	3	planned		en_US
high_performer_workplace	core	seinen	3	imposter_syndrome	4	planned		en_US
high_performer_workplace	core	seinen	3	imposter_syndrome	5	planned		en_US
high_performer_workplace	core	seinen	4	overthinking	1	planned		en_US
high_performer_workplace	core	seinen	4	overthinking	2	planned		en_US
high_performer_workplace	core	seinen	4	overthinking	3	planned		en_US
high_performer_workplace	core	seinen	4	overthinking	4	planned		en_US
high_performer_workplace	core	seinen	4	overthinking	5	planned		en_US
